StartNodeID,EndNodeID,BaseTravelTime,CongestionFactor
0,1,1.0,1.26
0,173,1.0,1.50
1,2,1.0,1.81
1,174,1.0,1.51
2,3,1.0,1.73
2,175,1.0,1.79
3,4,1.0,1.15
3,176,1.0,1.04
4,5,1.0,1.75
4,177,1.0,1.89
5,6,1.0,1.74
5,178,1.0,1.26
6,7,1.0,1.06
6,179,1.0,1.96
7,8,1.0,1.65
7,180,1.0,1.21
8,9,1.0,1.36
8,181,1.0,1.02
9,10,1.0,1.67
9,182,1.0,1.64
10,11,1.0,1.50
10,183,1.0,1.68
11,12,1.0,1.23
11,184,1.0,1.86
12,13,1.0,1.65
12,185,1.0,1.96
13,14,1.0,1.34
13,186,1.0,1.01
14,15,1.0,1.96
14,187,1.0,1.72
15,16,1.0,1.62
15,188,1.0,1.49
16,17,1.0,1.61
16,189,1.0,1.19
17,18,1.0,1.98
17,190,1.0,1.08
18,19,1.0,1.35
18,191,1.0,1.44
19,20,1.0,1.24
19,192,1.0,1.68
20,21,1.0,1.64
20,193,1.0,1.76
21,22,1.0,1.87
21,194,1.0,1.41
22,23,1.0,1.46
22,195,1.0,1.26
23,24,1.0,1.85
23,196,1.0,1.27
24,25,1.0,1.24
24,197,1.0,1.27
25,26,1.0,1.38
25,198,1.0,1.48
26,27,1.0,1.69
26,199,1.0,1.46
27,28,1.0,1.03
27,200,1.0,1.11
28,29,1.0,1.81
28,201,1.0,1.10
29,30,1.0,1.28
29,202,1.0,1.73
30,31,1.0,1.79
30,203,1.0,1.95
31,32,1.0,1.27
31,204,1.0,1.04
32,33,1.0,1.56
32,205,1.0,1.08
33,34,1.0,1.18
33,206,1.0,1.89
34,35,1.0,1.14
34,207,1.0,1.21
35,36,1.0,1.67
35,208,1.0,1.48
36,37,1.0,1.15
36,209,1.0,1.52
37,38,1.0,1.06
37,210,1.0,1.61
38,39,1.0,1.01
38,211,1.0,1.70
39,40,1.0,1.50
39,212,1.0,1.82
40,41,1.0,1.96
40,213,1.0,1.30
41,42,1.0,1.35
41,214,1.0,1.03
42,43,1.0,1.98
42,215,1.0,1.22
43,44,1.0,1.91
43,216,1.0,1.39
44,45,1.0,1.78
44,217,1.0,1.56
45,46,1.0,1.14
45,218,1.0,1.07
46,47,1.0,1.38
46,219,1.0,1.11
47,48,1.0,1.82
47,220,1.0,1.71
48,49,1.0,1.53
48,221,1.0,1.90
49,50,1.0,1.31
49,222,1.0,1.26
50,51,1.0,1.47
50,223,1.0,1.40
51,52,1.0,1.62
51,224,1.0,1.30
52,53,1.0,1.20
52,225,1.0,1.47
53,54,1.0,1.75
53,226,1.0,1.60
54,55,1.0,1.77
54,227,1.0,1.05
55,56,1.0,1.23
55,228,1.0,1.43
56,57,1.0,1.07
56,229,1.0,1.17
57,58,1.0,1.99
57,230,1.0,1.78
58,59,1.0,1.57
58,231,1.0,1.10
59,60,1.0,1.70
59,232,1.0,1.27
60,61,1.0,1.08
60,233,1.0,1.81
61,62,1.0,1.84
61,234,1.0,1.59
62,63,1.0,1.80
62,235,1.0,1.31
63,64,1.0,1.30
63,236,1.0,1.57
64,65,1.0,1.72
64,237,1.0,1.04
65,66,1.0,1.82
65,238,1.0,1.54
66,67,1.0,1.54
66,239,1.0,1.50
67,68,1.0,1.90
67,240,1.0,1.72
68,69,1.0,1.98
68,241,1.0,1.44
69,70,1.0,1.64
69,242,1.0,1.86
70,71,1.0,1.04
70,243,1.0,1.85
71,72,1.0,1.07
71,244,1.0,1.87
72,73,1.0,1.98
72,245,1.0,1.94
73,74,1.0,1.90
73,246,1.0,1.46
74,75,1.0,1.89
74,247,1.0,1.73
75,76,1.0,1.09
75,248,1.0,1.43
76,77,1.0,1.65
76,249,1.0,1.49
77,78,1.0,1.72
77,250,1.0,1.59
78,79,1.0,1.82
78,251,1.0,1.95
79,80,1.0,1.83
79,252,1.0,1.10
80,81,1.0,1.35
80,253,1.0,1.86
81,82,1.0,1.11
81,254,1.0,1.21
82,83,1.0,1.22
82,255,1.0,1.31
83,84,1.0,1.45
